mode,id,memory_used,timestamp,init,billed,memory_max,duration
interactive,34469754241041282833078623960563593326255833546041917505,48,1545677237876,,100,256,17.6
embedded,34469886817655744130919900817177876713471188034902622237,87,1545683182817,,100,256,18.53
interactive,34469768327619197917726160796529913661258768033836564556,50,1545677869540,,100,256,15.16
interactive,34469737836925325226731668886600733598583055124702363676,48,1545676502290,,100,256,40.09
interactive,34469751614927828999310973293058450528065703997101310024,48,1545677120117,,100,256,2.82
embedded,34469875725688796540560031447996896601184119678434541645,84,1545682685436,,100,256,16.61
embedded,34469875678901833114042784097054959665167857238887628861,84,1545682683338,,100,256,59.36
embedded,34469881346703127556196247693680729099683323448333172850,81,1545682937491,,100,256,18.99
interactive,34469721492820672949630620685823847087509518234564034579,50,1545675769395,,100,256,14.85
interactive,34469716177482656370253655856250646766049701315630202917,48,1545675531047,,100,256,28.66
embedded,34469881275407645156493845510191037782026511713713782872,81,1545682934294,,100,256,12.89
interactive,34469721667658515306110706115463878345072672441450496078,50,1545675777235,,100,256,18.78
embedded,34469853051673724876931318536869977141211510969744621641,83,1545681668698,,100,256,14.52
interactive,34469759787303515943240191431885310439512005614368063540,48,1545677486579,,100,256,30.69
interactive,34469724275061643918311163968750994026657989792386711609,48,1545675894155,,100,256,21.43
interactive,34469751545304902489498367845183938080857519375430451246,48,1545677116995,,100,256,33.3
embedded,34469886967962766769016300791128617871121144585210626128,87,1545683189557,,100,256,19.78
embedded,34469875654348712650460568018224133846982011220803190836,84,1545682682237,,100,256,20.75
embedded,34469886888103798213078139321289210736767362032294756407,87,1545683185976,,100,256,29.28
embedded,34469892350314522669977788169910662400926048876814008346,83,1545683430910,,100,256,26.05
interactive,34469729515491457375823765662704631150036220595503693861,49,1545676129144,,100,256,29.13
embedded,34469841373018772603627815542457136395254083452567748662,87,1545681145009,,100,256,33.84
interactive,34469726811102387895213627767720266339429014471949877268,49,1545676007875,,100,256,9.79
interactive,34469757046341224337039831578062007382952075322087374919,49,1545677363670,,100,256,36.08
interactive,34469724207267378514778069618482410477806970814206246946,48,1545675891115,,100,256,59.65
